SEQC_NB001	SEQC_NB002	SEQC_NB003	SEQC_NB004	SEQC_NB005	SEQC_NB006
UKv4_A_24_P148796	0.740269343	0.825749713	1.143704681	0.89438452	1.058096212
UKv4_A_23_P40989	0.688492367	0.379620646	0.601819144	0.767889355	0.743472028
UKv4_A_24_P478350	-1.968753213	-1.764809564	-1.766966125	-1.852367634	-1.955579264
UKv4_A_23_P23296	-0.687752457	-0.518453588	-0.46624026	-0.660903652	-0.706214875
UKv4_A_24_P100650	-1.138723532	-1.016243307	-0.9639994	-1.203025787	-1.22970474
UKv4_A_23_P402778	-1.251865814	-1.323812349	-1.291604475	-1.872546625	-1.483937579
UKv4_A_23_P144357	-0.411928193	-0.617327285	-0.775793627	-0.560309878	-0.415452637
UKv4_A_23_P128993	0.254780284	0.065551256	-0.448857134	0.097766159	-0.234278598
UKv4_A_24_P63347	-1.963000216	-2.0795632	-2.235976248	-1.886400857	-1.983860089
UKv4_A_23_P157283	0.794283597	0.43743952	0.602487725	0.410389924	0.675126699
UKv4_A_23_P418562	-1.957247218	-1.350497984	-1.488501811	-1.317473794	-1.719611125
UKv4_A_23_P137470	0.897198328	0.88185797	0.583098854	1.122075816	0.349013429
UKv4_A_23_P109768	1.561349918	1.5442091	1.692944619	1.653957867	1.634318033
UKv4_A_23_P129678	-0.130990153	-0.109958108	-0.160364093	-0.206424595	-0.169468373
UKv4_A_23_P71148	1.885755049	1.803538727	1.836689703	1.820509835	1.662304267
UKv4_A_23_P400927	-1.085987722	-1.159250937	-0.986062599	-1.10333555	-0.829943487
UKv4_A_23_P518	-1.135847033	-1.01555906	-0.371635937	-0.415442796	-0.362720681
UKv4_A_23_P363365	-0.355996274	-0.049744369	-0.067096934	-0.189257394	-0.239581253
UKv4_A_24_P355967	-1.507234977	-0.976556979	-0.908172821	-1.005753566	-1.15045951
UKv4_A_23_P200535	0.80515037	0.892121675	0.611179289	0.66458497	0.721966816
UKv4_A_24_P24770	-1.929760675	-2.247203724	-1.90703401	-1.852367634	-1.868969235
UKv4_A_23_P215461	0.692008087	0.760404121	0.455065442	0.551341679	0.510449808
UKv4_A_23_P87104	-0.442291235	-0.234148945	-0.348569866	-0.795530649	-0.894753712
UKv4_A_23_P147563	-0.65227564	-0.418895645	-0.49632644	-0.912388087	-0.955439651
UKv4_A_23_P93514	-1.152466803	-1.113406386	-1.36815709	-1.137368773	-0.971347615
UKv4_A_32_P709998	-0.110535051	0.075130715	-0.006255991	-0.236542491	-0.299678008
UKv4_A_23_P99405	1.117729895	1.152135549	1.148384754	1.133520617	1.09580398
UKv4_A_23_P154297	0.424493708	0.532549858	0.609173543	0.811560304	0.678956394
UKv4_A_23_P26905	1.375975557	1.11142285	1.314861619	1.12388289	1.181530232
UKv4_A_23_P339691	-1.957247218	-1.640618727	-1.581100389	-1.554501639	-1.75231083
UKv4_A_24_P277657	-0.504295762	-0.92318571	-0.741361665	-0.49856819	-0.417809373
UKv4_A_23_P71213	-1.957247218	-1.612222475	-1.841512994	-1.893629152	-1.983860089
UKv4_A_23_P54540	0.785014879	0.900674763	1.022691378	1.00190541	0.93584056
UKv4_A_23_P409489	-1.113474265	-2.211280754	-1.671693221	-1.38825085	-1.969425084
UKv4_A_23_P162449	0.009638673	0.617054367	0.382524318	0.721507794	0.348129653
UKv4_A_23_P126757	0.419060321	0.560261863	0.52192362	0.521826141	0.521938894
UKv4_A_23_P865	-1.076719004	-0.550955323	-0.670826287	-1.060869316	-0.869713398
UKv4_A_23_P398197	-1.816298782	-2.293048275	-1.720833982	-1.83911576	-1.942028035
UKv4_A_23_P157628	0.178712874	0.288273666	0.179275455	0.240826167	0.128953255
UKv4_A_32_P202013	-1.533762687	-1.030270371	-1.279570003	-1.404514514	-1.293925782
UKv4_A_23_P1286	0.327651585	-0.556087175	0.003772736	0.121559297	-0.272280958
UKv4_A_23_P69383	0.729082959	0.040234116	-0.182761583	0.176675048	0.529892876
UKv4_A_23_P218731	0.399883663	0.487389554	0.618199397	0.656754317	0.461252956
UKv4_A_23_P340218	-0.595065277	-0.857497995	-0.743701701	-0.832274482	-0.90506443
UKv4_A_23_P60405	-0.167425803	-0.270756162	-0.141309512	-0.281418157	0.016419137
UKv4_A_24_P402106	-0.795141742	-0.626906744	-0.961659364	-0.835587451	-0.759536015
UKv4_A_23_P76488	0.62680745	0.466177896	0.766290263	0.671210907	1.464338488
UKv4_A_23_P401606	-1.223100827	-1.155145455	-0.857694896	0.019760807	0.334283832
UKv4_A_23_P60373	-1.957247218	-1.664909496	-1.809421069	-1.893629152	-1.983860089
UKv4_A_23_P370924	0.630642782	0.668372895	1.164430717	0.977208735	1.145295424
UKv4_A_24_P98006	-1.957247218	-1.534218313	-1.533631082	-1.893629152	-1.983860089
UKv4_A_23_P13873	0.850535127	1.116896826	0.992605198	0.910347005	0.879573501
UKv4_A_23_P11685	0.030732996	-0.210200299	-0.403059281	0.117643971	-0.086982632
UKv4_A_23_P256470	3.138949651	3.22677256	2.305699826	2.954448635	2.648598059
UKv4_A_23_P16058	-0.335860783	-0.100036526	-0.108214713	-0.332016223	-0.347107309
UKv4_A_32_P524614	0.536037935	0.534260476	0.608504962	0.294134844	0.385542829
